-----------------------------------------------------------------------------------------------------
19日22时37分44秒Info:System');"成功[BP.Port.Emp-1]放入缓存。
19日22时37分55秒Info:System');"成功[BP.Sys.EnsAppCfg-17]放入缓存。
19日22时37分58秒Info:System');"成功[BP.YG.ZJType-3]放入缓存。
19日22时38分09秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
19日22时38分09秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.YG.ZJ
19日22时38分09秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
19日22时38分18秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
19日22时38分18秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.YG.ZJ
19日22时38分18秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
19日22时38分18秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
19日22时38分18秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.YG.ZJ
19日22时38分18秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
19日22时38分31秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
19日22时38分31秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.YG.ZJ
19日22时38分31秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
19日22时38分31秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
19日22时38分31秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.YG.ZJ
19日22时38分31秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
19日22时38分32秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
19日22时38分32秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.YG.ZJ
19日22时38分32秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
-----------------------------------------------------------------------------------------------------
19日22时40分32秒Info:System');"成功[BP.Port.Emp-1]放入缓存。
