-----------------------------------------------------------------------------------------------------
01日22时10分49秒Info:System');"成功[BP.Port.Emp-45]放入缓存。
01日22时10分50秒Info:System');"成功[BP.WF.FlowSort-6]放入缓存。
01日22时11分03秒Info:System');"成功[BP.WF.FlowSort-6]放入缓存。
01日22时11分08秒Info:System');"成功[BP.WF.FlowSort-6]放入缓存。
01日22时11分15秒Info:System');"成功[BP.WF.FlowSort-6]放入缓存。
01日22时11分19秒Info:System');"成功[BP.WF.FlowSort-6]放入缓存。
01日22时11分25秒Info:System');"成功[BP.WF.FlowSort-6]放入缓存。
01日22时11分28秒Info:System');"成功[BP.WF.FlowSort-6]放入缓存。
01日22时11分32秒Info:System');"成功[BP.WF.FlowSort-6]放入缓存。
01日22时11分36秒Info:System');"成功[BP.WF.FlowSort-6]放入缓存。
01日22时12分30秒Info:System');"成功[BP.WF.FlowSort-6]放入缓存。
01日22时12分49秒Info:System');"成功[BP.WF.FlowSort-6]放入缓存。
01日22时13分05秒Info:System');"成功[BP.WF.FlowSort-6]放入缓存。
01日22时13分12秒Info:System');"成功[BP.WF.FlowSort-6]放入缓存。
01日22时13分19秒Info:System');"成功[BP.WF.FlowSort-6]放入缓存。
01日22时13分24秒Info:System');"成功[BP.WF.FlowSort-6]放入缓存。
01日22时13分28秒Info:System');"成功[BP.WF.FlowSort-5]放入缓存。
01日22时13分37秒Info:System');"成功[BP.WF.FlowSort-5]放入缓存。
01日22时13分40秒Info:System');"成功[BP.WF.FlowSort-4]放入缓存。
01日22时13分46秒Info:System');"成功[BP.WF.FlowSort-4]放入缓存。
01日22时13分48秒Info:System');"成功[BP.WF.FlowSort-3]放入缓存。
01日22时14分13秒Info:System');"成功[BP.WF.FlowSort-4]放入缓存。
01日22时14分16秒Info:System');"成功[BP.WF.Flow-5]放入缓存。
01日22时14分16秒Fatal:System');"@没有[映射基础  Sys_MapData, 类[BP.Sys.MapData], 物理表[Sys_MapData] 实例。PK = DocType
01日22时14分16秒Fatal:System');"@没有[映射基础  Sys_MapData, 类[BP.Sys.MapData], 物理表[Sys_MapData] 实例。PK = XWType
01日22时14分16秒Fatal:System');"@没有[映射基础  Sys_MapData, 类[BP.Sys.MapData], 物理表[Sys_MapData] 实例。PK = FlowRunWay
01日22时14分24秒Fatal:System');"@没有[映射基础  Sys_MapData, 类[BP.Sys.MapData], 物理表[Sys_MapData] 实例。PK = DocType
01日22时14分24秒Fatal:System');"@没有[映射基础  Sys_MapData, 类[BP.Sys.MapData], 物理表[Sys_MapData] 实例。PK = XWType
01日22时14分24秒Fatal:System');"@没有[映射基础  Sys_MapData, 类[BP.Sys.MapData], 物理表[Sys_MapData] 实例。PK = FlowRunWay
01日22时14分24秒Info:System');"成功[BP.WF.FlowSort-4]放入缓存。
01日22时19分41秒Info:System');"成功[BP.WF.Flow-5]放入缓存。
01日22时20分26秒Info:System');"成功[BP.WF.Node-19]放入缓存。
